fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-23
domain;imap_host:imap_port;imap_login_template
hour.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
mad.scientist.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
hotmail.dk;outlook.office365.com:993;%EMAILADDRESS%
casema.nl;imap.ziggo.nl:993;%EMAILADDRESS%
razcall.com;imap.ziggo.nl:993;%EMAILADDRESS%
arubapec.it;imaps.pec.aruba.it:993;%EMAILADDRESS%
taxidriver.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
svendsen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
aol.es;imap.aol.com:993;%EMAILADDRESS%
jubiipostadresse.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
homemail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
singapore.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
prokonto.pl;poczta.o2.pl:993;%EMAILADDRESS%
google.com;imap.gmail.com:993;%EMAILADDRESS%
tiscali.nl;imap.kpnmail.nl:993,mail.tiscali.nl:143;%EMAILADDRESS%
elvis.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
privatpost.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
video.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
poczta.onet.eu;imap.poczta.onet.pl:993;%EMAILADDRESS%
republika.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
onmicrosoft.com;outlook.office365.com:993;%EMAILADDRESS%
onsnetnuenen.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
adres.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
accountant.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
live.com;outlook.office365.com:993;%EMAILADDRESS%
live.cl;outlook.office365.com:993;%EMAILADDRESS%
tiscalimail.nl;imap.kpnmail.nl:993,imap.telfort.nl:993;%EMAILADDRESS%
outlook.com.tr;outlook.office365.com:993;%EMAILADDRESS%
hotmail.gr;outlook.office365.com:993;%EMAILADDRESS%
outlook.com;outlook.office365.com:993;%EMAILADDRESS%
outlook.dk;outlook.office365.com:993;%EMAILADDRESS%
hotmail.com.tr;outlook.office365.com:993;%EMAILADDRESS%
outlook.co.th;outlook.office365.com:993;%EMAILADDRESS%
outlook.fr;outlook.office365.com:993;%EMAILADDRESS%
windowslive.com;outlook.office365.com:993,imap-mail.outlook.com:993;%EMAILADDRESS%
hotmail.co.th;outlook.office365.com:993;%EMAILADDRESS%
hotmail.ph;outlook.office365.com:993;%EMAILADDRESS%
saintly.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
info.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
superbruger.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
12move.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
californiamail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
nospam.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
onet.com.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
pobox.com;mail.pobox.com:993,mail.pobox.com:143;%EMAILADDRESS%
publicist.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
iloveu.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
maskulin.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
posteo.jp;posteo.de:993;%EMAILADDRESS%
posteo.com.br;posteo.de:993;%EMAILADDRESS%
posteo.nz;posteo.de:993;%EMAILADDRESS%
posteo.ch;posteo.de:993,posteo.de:143;%EMAILADDRESS%
posteo.sg;posteo.de:993;%EMAILADDRESS%
posteo.se;posteo.de:993;%EMAILADDRESS%
posteo.de;posteo.de:993,mail.posteo.de:993;%EMAILADDRESS%
posteo.gl;posteo.de:993;%EMAILADDRESS%
posteo.es;posteo.de:993;%EMAILADDRESS%
posteo.fi;posteo.de:993;%EMAILADDRESS%
posteo.lu;posteo.de:993;%EMAILADDRESS%
posteo.cl;posteo.de:993;%EMAILADDRESS%
posteo.com;posteo.de:993;%EMAILADDRESS%
posteo.at;posteo.de:993,posteo.de:143;%EMAILADDRESS%
posteo.be;posteo.de:993;%EMAILADDRESS%
posteo.us;posteo.de:993;%EMAILADDRESS%
posteo.ee;posteo.de:993;%EMAILADDRESS%
posteo.si;posteo.de:993;%EMAILADDRESS%
posteo.mx;posteo.de:993;%EMAILADDRESS%
posteo.pt;posteo.de:993;%EMAILADDRESS%
posteo.gr;posteo.de:993;%EMAILADDRESS%
posteo.co;posteo.de:993;%EMAILADDRESS%
posteo.ca;posteo.de:993;%EMAILADDRESS%
posteo.ie;posteo.de:993;%EMAILADDRESS%
posteo.net;posteo.de:993;%EMAILADDRESS%
posteo.nl;posteo.de:993;%EMAILADDRESS%
posteo.hr;posteo.de:993;%EMAILADDRESS%
posteo.it;posteo.de:993;%EMAILADDRESS%
cyberjunkie.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
innocent.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
reborn.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
songwriter.net;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
o2.pl;poczta.o2.pl:993;%EMAILADDRESS%
qq.com;imap.qq.com:993;%EMAILADDRESS%
q.com;mail.q.com:993;%EMAILADDRESS%
quicknet.nl;imap.ziggo.nl:993;%EMAILADDRESS%
jakobsen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
jubiipost.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
knus.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
hairdresser.net;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
toke.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
archaeologist.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
irelandmail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
op.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
yahoo.co.uk;imap.mail.yahoo.com:993;%EMAILADDRESS%
rr.com;mail.twc.com:993;%EMAILADDRESS%
revenue.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
online.de;imap.1und1.de:993,imap.1und1.de:143;%EMAILADDRESS%
onlinehome.de;imap.1und1.de:993,imap.1und1.de:143;%EMAILADDRESS%
schlund.de;imap.1und1.de:993,imap.1und1.de:143;%EMAILADDRESS%
spainmail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
bemybaby.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
nicemail.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
skrivnu.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
secureserver.net;imap.secureserver.net:993;%EMAILADDRESS%
sfr.fr;imap.sfr.fr:993;%EMAILADDRESS%
sky.com;imap.tools.sky.com:993;%EMAILADDRESS%
hyperpost.dk;imap.jubii.dk:993;%EMAILADDRESS%
it.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
engineer.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
active24.com;email.active24.com:993;%EMAILADDRESS%
execs.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
mexicomail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
weirdness.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
hetnet.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
sofortstart.de;imap.1und1.de:993,imap.1und1.de:143;%EMAILADDRESS%
so.wind.ne.jp;so.wind.ne.jp:143,so.wind.ne.jp:143;%EMAILADDRESS%
