fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-25
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
posteo.com;posteo.de:465,posteo.de:587;%EMAILADDRESS%
posteo.ee;posteo.de:465,posteo.de:587;%EMAILADDRESS%
posteo.tn;posteo.de:465,posteo.de:587;%EMAILADDRESS%
posteo.pl;posteo.de:465,posteo.de:587;%EMAILADDRESS%
posteo.ro;posteo.de:465;%EMAILADDRESS%
posteo.si;posteo.de:465,posteo.de:587;%EMAILADDRESS%
priest.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
pseudonim.pl;smtp.poczta.onet.pl:465,smtp.poczta.onet.pl:587;%EMAILADDRESS%
representative.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
schlund.de;smtp.1und1.de:465,smtp.1und1.de:587;%EMAILADDRESS%
scotlandmail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
secretary.net;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
sapo.cv;smtp.sapo.pt:465;%EMAILADDRESS%
retromail.dk;smtp.jubii.dk:465;%EMAILADDRESS%
schwaz.net;mail.schwaz.net:465,mail.schwaz.net:587;%EMAILADDRESS%
soon.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
sporty.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
singapore.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
sofort-start.de;smtp.1und1.de:465,smtp.1und1.de:587;%EMAILADDRESS%
tanke.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
thinline.cz;smtp.cesky-hosting.cz:465,smtp.cesky-hosting.cz:587,smtp.cesky-hosting.cz:25;%EMAILADDRESS%
sofortstart.de;smtp.1und1.de:465,smtp.1und1.de:587;%EMAILADDRESS%
ss.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILADDRESS%
submail.dk;smtp.jubii.dk:465;%EMAILADDRESS%
svendsen.dk;smtp.jubii.dk:465;%EMAILADDRESS%
taxidriver.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
vp.pl;smtp.poczta.onet.pl:465,smtp.poczta.onet.pl:587;%EMAILADDRESS%
telstra.com;smtp.telstra.com:465;%EMAILADDRESS%
winning.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
vip.onet.pl;smtp.poczta.onet.pl:465,smtp.poczta.onet.pl:587;%EMAILADDRESS%
trashcan.dk;smtp.jubii.dk:465;%EMAILADDRESS%
yahoo.it;smtp.mail.yahoo.com:465,smtp.mail.yahoo.com:587,smtp.att.yahoo.com:587,smtp.att.yahoo.com:465;%EMAILADDRESS%
yahoodns.net;smtp.mail.yahoo.com:465,smtp.mail.yahoo.com:587,smtp.att.yahoo.com:587,smtp.att.yahoo.com:465;%EMAILADDRESS%
yandex.kz;smtp.yandex.com:465;%EMAILADDRESS%
yandex.com;smtp.yandex.com:465;%EMAILADDRESS%
web.de;smtp.web.de:465,smtp.web.de:587,mail.web.de:587;%EMAILADDRESS%
yahoo.fr;smtp.mail.yahoo.com:465,smtp.mail.yahoo.com:587,smtp.att.yahoo.com:587,smtp.att.yahoo.com:465;%EMAILADDRESS%
xs4all.nl;smtp.kpnmail.nl:465,smtps.xs4all.nl:465;%EMAILADDRESS%
yahoo.co.uk;smtp.mail.yahoo.com:465,smtp.mail.yahoo.com:587,smtp.att.yahoo.com:587,smtp.att.yahoo.com:465;%EMAILADDRESS%
zeggis.nl;smtp.ziggo.nl:587,tracker.data.ziggo.nl:587;%EMAILADDRESS%
ziggo.nl;smtp.ziggo.nl:587,tracker.data.ziggo.nl:587;%EMAILADDRESS%
zybermail.dk;smtp.jubii.dk:465;%EMAILADDRESS%
