fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-23
domain;imap_host:imap_port;imap_login_template
hilarious.com;imap.mail.com:993;%EMAILADDRESS%
financier.com;imap.mail.com:993;%EMAILADDRESS%
wp.pl;imap.wp.pl:993;%EMAILLOCALPART%
count.com;imap.mail.com:993;%EMAILADDRESS%
yahoodns.net;imap.mail.yahoo.com:993;%EMAILADDRESS%
yahoo.com;imap.mail.yahoo.com:993;%EMAILADDRESS%
yahoo.com.br;imap.mail.yahoo.com:993;%EMAILADDRESS%
yahoo.fr;imap.mail.yahoo.com:993;%EMAILADDRESS%
yahoo.com.ar;imap.mail.yahoo.com:993;%EMAILADDRESS%
cox.net;imap.mail.yahoo.com:993;%EMAILADDRESS%
yandex.ua;imap.yandex.com:993;%EMAILADDRESS%
yahoo.com.au;imap.mail.yahoo.com:993;%EMAILADDRESS%
ziggomail.com;imap.ziggo.nl:993;%EMAILADDRESS%
ziggo.nl;imap.ziggo.nl:993;%EMAILADDRESS%
zohomail.com;imap.zoho.com:993;%EMAILADDRESS%
2senior.dk;imap.jubii.dk:993;%EMAILADDRESS%
heavymail.dk;imap.jubii.dk:993;%EMAILADDRESS%
as12bfb.com;imap.as12bfb.com:993;%EMAILADDRESS%
me.com;imap.mail.me.com:993;%EMAILADDRESS%
ameritech.net;imap.mail.att.net:993;%EMAILADDRESS%
rambler.ru;mail.rambler.ru:993;%EMAILADDRESS%
flash.net;imap.mail.att.net:993;%EMAILADDRESS%
xtra.co.nz;imap.xtra.co.nz:993;%EMAILADDRESS%
laposte.net;imap.laposte.net:993;%EMAILADDRESS%
skynet.be;imap.proximus.be:993;%EMAILADDRESS%
mac.com;imap.mail.me.com:993;%EMAILADDRESS%
email.it;imapmail.email.it:993;%EMAILADDRESS%
icloud.com;imap.mail.me.com:993;%EMAILADDRESS%
prodigy.net;imap.mail.att.net:993;%EMAILADDRESS%
xs4all.nl;mail.xs4all.nl:993;%EMAILADDRESS%
go2.pl;mail.go2.pl:993;%EMAILADDRESS%
biglobe.ne.jp;mail.biglobe.ne.jp:993;%EMAILADDRESS%
ybb.ne.jp;imap.mail.yahoo.co.jp:993;%EMAILADDRESS%
a1.net;securemail.a1.net:993;%EMAILADDRESS%
snet.net;imap.mail.att.net:993;%EMAILADDRESS%
swbell.net;imap.mail.att.net:993;%EMAILADDRESS%
tlen.pl;imap.tlen.pl:993;%EMAILADDRESS%
zeelandnet.nl;mail.zeelandnet.nl:993;%EMAILADDRESS%
autograf.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
uol.com.br;imap.uol.com.br:993;%EMAILADDRESS%
bol.com.br;imap.bol.com.br:993;%EMAILADDRESS%
bluewin.ch;imaps.bluewin.ch:993;%EMAILADDRESS%
tiscali.cz;imap.centrum.cz:993;%EMAILADDRESS%
free.fr;imap.free.fr:993;%EMAILADDRESS%
orange.fr;imap.orange.fr:993;%EMAILADDRESS%
wanadoo.fr;imap.orange.fr:993;%EMAILADDRESS%
yahoo.co.jp;imap.mail.yahoo.co.jp:993;%EMAILADDRESS%
wp.pl;imap.wp.pl:993;%EMAILADDRESS%
hotmail.com;outlook.office365.com:993;%EMAILADDRESS%
sapo.pt;imap.sapo.pt:993;%EMAILADDRESS%
bellsouth.net;imap.mail.att.net:993;%EMAILADDRESS%
cox.net;imap.cox.net:993;%EMAILADDRESS%
sbcglobal.net;imap.mail.att.net:993;%EMAILADDRESS%
att.net;imap.mail.att.net:993;%EMAILADDRESS%
verizon.net;imap.verizon.net:993;%EMAILADDRESS%
utanet.at;mail.utanet.at:993;%EMAILADDRESS%
gte.net;imap.aol.com:993;%EMAILADDRESS%
epix.net;imap3.frontier.com:993;%EMAILADDRESS%
bellatlantic.net;imap.aol.com:993;%EMAILADDRESS%
ceaco.com.au;ceaco.com.au:993;%EMAILADDRESS%
netspeed.com.au;mail.netspeed.com.au:993;%EMAILADDRESS%
pctcnet.net;mail.pctcnet.net:993;%EMAILADDRESS%
comcen.com.au;pop3.spintel.net.au:993;%EMAILADDRESS%
bluesurf.com.au;mail.bluesurf.com.au:993;%EMAILADDRESS%
westvic.com.au;mail.westvic.com.au:993;%EMAILADDRESS%
digisurf.com.au;mail.digisurf.com.au:993;%EMAILADDRESS%
glocalnet.net;mail.glocalnet.net:993;%EMAILADDRESS%
hunterlink.net.au;mail.hunterlink.net.au:993;%EMAILADDRESS%
zip.com.au;mail.zip.com.au:993;%EMAILADDRESS%
pacific.net.au;mail.pacific.net.au:993;%EMAILADDRESS%
kolumbus.fi;mail.kolumbus.fi:993;%EMAILADDRESS%
sci.fi;imaps.saunalahti.fi:993;%EMAILADDRESS%
ocn.ne.jp;imap.ocn.ne.jp:993;%EMAILADDRESS%
so-net.ne.jp;imap.so-net.ne.jp:993;%EMAILADDRESS%
bahnhof.se;mail.bahnhof.se:993;%EMAILADDRESS%
kth.se;webmail.kth.se:993;%EMAILADDRESS%
mobil.dk;imap.jubii.dk:993;%EMAILADDRESS%
tele.dk;mail.tele.dk:993;%EMAILADDRESS%
turbopost.dk;mail.turbopost.dk:993;%EMAILADDRESS%
ggs.ch;ggs.ch:993;%EMAILADDRESS%
karoo.co.uk;imap.karoo.co.uk:993;%EMAILADDRESS%
usyd.edu.au;imap.usyd.edu.au:993;%EMAILADDRESS%
telenet.be;imap.telenet.be:993;%EMAILADDRESS%
aei.ca;mail.aei.ca:993;%EMAILADDRESS%
uni.de;mail.uni.de:993;%EMAILADDRESS%
vodafone.de;imap.vodafone.de:993;%EMAILADDRESS%
estvideo.fr;mail.estvideo.fr:993;%EMAILADDRESS%
numericable.fr;imap.numericable.fr:993;%EMAILADDRESS%
worldonline.fr;imap.free.fr:993;%EMAILADDRESS%
chez.com;imap.free.fr:993;%EMAILADDRESS%
ac-versailles.fr;messagerie.ac-versailles.fr:993;%EMAILADDRESS%
wbs.co.za;imap.wbs.co.za:993;%EMAILADDRESS%
muni.cz;mail.muni.cz:993;%EMAILADDRESS%
roverch.fr;mail.roverch.fr:993;%EMAILADDRESS%
vortex.fr;mail.vortex.fr:993;%EMAILADDRESS%
niceavocats.fr;mail.niceavocats.fr:993;%EMAILADDRESS%
evers.fr;mail.evers.fr:993;%EMAILADDRESS%
ucb.org.br;outlook.office365.com:993;%EMAILADDRESS%
corsair.fr;outlook.office365.com:993;%EMAILADDRESS%
fischbein.fr;outlook.office365.com:993;%EMAILADDRESS%
vista.aero;outlook.office365.com:993;%EMAILADDRESS%
rogers.com;imap.mail.yahoo.com:993;%EMAILADDRESS%
